name,operator,city,state,full_address,suggested_query_1,suggested_query_2,suggested_query_3
HydraVault Data Center,HydraVault,Chicago,IL,"2538 S Wabash Ave, Chicago, IL, 60616, USA","""HydraVault Data Center"" ""HydraVault"" ""opening""","""HydraVault Data Center"" ""Chicago"" ""data center"" ""announced""","""HydraVault"" ""Chicago"" ""facility"" ""commissioned"""
SBA Edge Chicago,SBA Edge,West Chicago,IL,"603 Discovery Drive, West Chicago, IL, 60185, USA","""SBA Edge Chicago"" ""SBA Edge"" ""opening""","""SBA Edge Chicago"" ""West Chicago"" ""data center"" ""announced""","""SBA Edge"" ""West Chicago"" ""facility"" ""commissioned"""
Centersquare - Chicago ORD1-D,Csquare,Chicago,IL,"350 E Cermak Rd, Chicago, IL, 60616, USA","""Centersquare - Chicago ORD1-D"" ""Csquare"" ""opening""","""Centersquare - Chicago ORD1-D"" ""Chicago"" ""data center"" ""announced""","""Csquare"" ""Chicago"" ""facility"" ""commissioned"""
CoreSite Chicago (CH1),CoreSite,Chicago,IL,"427 South LaSalle, Chicago, IL, 60605, USA","""CoreSite Chicago (CH1)"" ""CoreSite"" ""opening""","""CoreSite Chicago (CH1)"" ""Chicago"" ""data center"" ""announced""","""CoreSite"" ""Chicago"" ""facility"" ""commissioned"""
Centersquare - Chicago ORD1-C,Csquare,Chicago,IL,"350 E Cermak Rd, Chicago, IL, 60616, USA","""Centersquare - Chicago ORD1-C"" ""Csquare"" ""opening""","""Centersquare - Chicago ORD1-C"" ""Chicago"" ""data center"" ""announced""","""Csquare"" ""Chicago"" ""facility"" ""commissioned"""
FirstComm Data Center,First Communications,Chicago,IL,"601 W Polk St, Chicago, IL, 60607, USA","""FirstComm Data Center"" ""First Communications"" ""opening""","""FirstComm Data Center"" ""Chicago"" ""data center"" ""announced""","""First Communications"" ""Chicago"" ""facility"" ""commissioned"""
ColoCrossing CH1,ColoCrossing,Elk Grove Village,IL,"2200 Busse Road, Elk Grove Village, IL, 60007, USA","""ColoCrossing CH1"" ""ColoCrossing"" ""opening""","""ColoCrossing CH1"" ""Elk Grove Village"" ""data center"" ""announced""","""ColoCrossing"" ""Elk Grove Village"" ""facility"" ""commissioned"""
Metro Edge IMD1,Metro Edge,Chicago,IL,"1951 W Hastings St, Chicago, IL, 60608, USA","""Metro Edge IMD1"" ""Metro Edge"" ""opening""","""Metro Edge IMD1"" ""Chicago"" ""data center"" ""announced""","""Metro Edge"" ""Chicago"" ""facility"" ""commissioned"""
Stream DC Chicago II,Stream Data Centers,Elk Grove Village,IL,"1925 Busse Road, Elk Grove Village, IL, 60007, USA","""Stream DC Chicago II"" ""Stream Data Centers"" ""opening""","""Stream DC Chicago II"" ""Elk Grove Village"" ""data center"" ""announced""","""Stream Data Centers"" ""Elk Grove Village"" ""facility"" ""commissioned"""
H5 Data Centers Chicago,H5 Data Centers,Chicago,IL,"1951 W. Hastings St., Chicago, IL, 60608, USA","""H5 Data Centers Chicago"" ""H5 Data Centers"" ""opening""","""H5 Data Centers Chicago"" ""Chicago"" ""data center"" ""announced""","""H5 Data Centers"" ""Chicago"" ""facility"" ""commissioned"""
CDW Elk Grove Data Center,CDW Corporation,Elk Grove Village,IL,"1441 Touhy Ave, Elk Grove Village, IL, 60007, USA","""CDW Elk Grove Data Center"" ""CDW Corporation"" ""opening""","""CDW Elk Grove Data Center"" ""Elk Grove Village"" ""data center"" ""announced""","""CDW Corporation"" ""Elk Grove Village"" ""facility"" ""commissioned"""
725 S. Wells,1547 Critical Systems Realty,Chicago,IL,"725 S Wells, Chicago, IL, 60607, USA","""725 S. Wells"" ""1547 Critical Systems Realty"" ""opening""","""725 S. Wells"" ""Chicago"" ""data center"" ""announced""","""1547 Critical Systems Realty"" ""Chicago"" ""facility"" ""commissioned"""
STACK Infrastructure CHI01A,STACK INFRASTRUCTURE,Elk Grove Village,IL,"1441 Touhy Ave, Elk Grove Village, IL, 60007, USA","""STACK Infrastructure CHI01A"" ""STACK INFRASTRUCTURE"" ""opening""","""STACK Infrastructure CHI01A"" ""Elk Grove Village"" ""data center"" ""announced""","""STACK INFRASTRUCTURE"" ""Elk Grove Village"" ""facility"" ""commissioned"""
Digital Fortress Chicago,Digital Fortress,Lombard,IL,"360 E 22nd St., Lombard, IL, 60148, USA","""Digital Fortress Chicago"" ""Digital Fortress"" ""opening""","""Digital Fortress Chicago"" ""Lombard"" ""data center"" ""announced""","""Digital Fortress"" ""Lombard"" ""facility"" ""commissioned"""
GDC - Chicago CH3 Data Center,"NTT DATA, Inc.",Itasca,IL,"255 Pierce Rd, Itasca, IL, 60143, USA","""GDC - Chicago CH3 Data Center"" ""NTT DATA, Inc."" ""opening""","""GDC - Chicago CH3 Data Center"" ""Itasca"" ""data center"" ""announced""","""NTT DATA, Inc."" ""Itasca"" ""facility"" ""commissioned"""
GDC - Chicago CH2 Data Center,"NTT DATA, Inc.",Itasca,IL,"275 Pierce Rd, Itasca, IL, 60143, USA","""GDC - Chicago CH2 Data Center"" ""NTT DATA, Inc."" ""opening""","""GDC - Chicago CH2 Data Center"" ""Itasca"" ""data center"" ""announced""","""NTT DATA, Inc."" ""Itasca"" ""facility"" ""commissioned"""
Equinix CH1,Equinix,Chicago,IL,"350 E Cermak Rd, Chicago, IL, 60616, USA","""Equinix CH1"" ""Equinix"" ""opening""","""Equinix CH1"" ""Chicago"" ""data center"" ""announced""","""Equinix"" ""Chicago"" ""facility"" ""commissioned"""
Cogent Data Center - Chicago 3,"Cogent Communications, Inc.",Chicago,IL,"4200 W 40th St, Chicago, IL, 60632, USA","""Cogent Data Center - Chicago 3"" ""Cogent Communications, Inc."" ""opening""","""Cogent Data Center - Chicago 3"" ""Chicago"" ""data center"" ""announced""","""Cogent Communications, Inc."" ""Chicago"" ""facility"" ""commissioned"""
Aligned ORD-01,Aligned Data Centers,Northlake,IL,"505 Northwest Avenue, Northlake, IL, 60164, USA","""Aligned ORD-01"" ""Aligned Data Centers"" ""opening""","""Aligned ORD-01"" ""Northlake"" ""data center"" ""announced""","""Aligned Data Centers"" ""Northlake"" ""facility"" ""commissioned"""
365 Data Centers - Chicago 1,365 Data Centers,Chicago,IL,"427 S La Salle St, Chicago, IL, 60605, USA","""365 Data Centers - Chicago 1"" ""365 Data Centers"" ""opening""","""365 Data Centers - Chicago 1"" ""Chicago"" ""data center"" ""announced""","""365 Data Centers"" ""Chicago"" ""facility"" ""commissioned"""
Microsoft Northlake,Microsoft,Northlake,IL,"601-605 Northwest Ave, Northlake, IL, 60164, USA","""Microsoft Northlake"" ""Microsoft"" ""opening""","""Microsoft Northlake"" ""Northlake"" ""data center"" ""announced""","""Microsoft"" ""Northlake"" ""facility"" ""commissioned"""
711 Ogden Avenue,CloudCenters,Lisle,IL,"711 Ogden Ave, Lisle, IL, 60532, USA","""711 Ogden Avenue"" ""CloudCenters"" ""opening""","""711 Ogden Avenue"" ""Lisle"" ""data center"" ""announced""","""CloudCenters"" ""Lisle"" ""facility"" ""commissioned"""
Centersquare - Chicago ORD2-A,Csquare,Elk Grove Village,IL,"2425 Busse Road, Elk Grove Village, IL, 60007, USA","""Centersquare - Chicago ORD2-A"" ""Csquare"" ""opening""","""Centersquare - Chicago ORD2-A"" ""Elk Grove Village"" ""data center"" ""announced""","""Csquare"" ""Elk Grove Village"" ""facility"" ""commissioned"""
Ascent CH2,Ascent,Northlake,IL,"505 N Railroad Ave, Northlake, IL, 60164, USA","""Ascent CH2"" ""Ascent"" ""opening""","""Ascent CH2"" ""Northlake"" ""data center"" ""announced""","""Ascent"" ""Northlake"" ""facility"" ""commissioned"""
CyrusOne CHI6 - Wood Dale,CyrusOne Data Centers,Wood Dale,IL,"Bryn Mawr Ave & Pine Ave, Wood Dale, IL, 60106, USA","""CyrusOne CHI6 - Wood Dale"" ""CyrusOne Data Centers"" ""opening""","""CyrusOne CHI6 - Wood Dale"" ""Wood Dale"" ""data center"" ""announced""","""CyrusOne Data Centers"" ""Wood Dale"" ""facility"" ""commissioned"""
CoreWeave Hammond,CoreWeave,Hammond,IL,"301 Digital Xrds Dr, Hammond, IL, 46320, USA","""CoreWeave Hammond"" ""CoreWeave"" ""opening""","""CoreWeave Hammond"" ""Hammond"" ""data center"" ""announced""","""CoreWeave"" ""Hammond"" ""facility"" ""commissioned"""
CloudHQ ORD Campus,CloudHQ,Des Plaines,IL,"1200 E Algonquin Rd, Des Plaines, IL, 60016, USA","""CloudHQ ORD Campus"" ""CloudHQ"" ""opening""","""CloudHQ ORD Campus"" ""Des Plaines"" ""data center"" ""announced""","""CloudHQ"" ""Des Plaines"" ""facility"" ""commissioned"""
STACK Infrastructure CHI02,STACK INFRASTRUCTURE,Elk Grove Village,IL,"1830 Jarvis Ave, Elk Grove Village, IL, 60007, USA","""STACK Infrastructure CHI02"" ""STACK INFRASTRUCTURE"" ""opening""","""STACK Infrastructure CHI02"" ""Elk Grove Village"" ""data center"" ""announced""","""STACK INFRASTRUCTURE"" ""Elk Grove Village"" ""facility"" ""commissioned"""
Rackspace Chicago,Rackspace Hosting,Elk Grove Village,IL,"2200 Busse Road, Elk Grove Village, IL, 60007, USA","""Rackspace Chicago"" ""Rackspace Hosting"" ""opening""","""Rackspace Chicago"" ""Elk Grove Village"" ""data center"" ""announced""","""Rackspace Hosting"" ""Elk Grove Village"" ""facility"" ""commissioned"""
Chirisa Volo Technology Park YLO-02,Chirisa,Volo,IL,"300 South Fish Lake Rd, Volo, IL, 60073, USA","""Chirisa Volo Technology Park YLO-02"" ""Chirisa"" ""opening""","""Chirisa Volo Technology Park YLO-02"" ""Volo"" ""data center"" ""announced""","""Chirisa"" ""Volo"" ""facility"" ""commissioned"""
Chirisa Volo Technology Park YLO-01,Chirisa,Volo,IL,"300 South Fish Lake Rd, Volo, IL, 60073, USA","""Chirisa Volo Technology Park YLO-01"" ""Chirisa"" ""opening""","""Chirisa Volo Technology Park YLO-01"" ""Volo"" ""data center"" ""announced""","""Chirisa"" ""Volo"" ""facility"" ""commissioned"""
Chicago Board of Trade Building,"Apollo Global Management, Inc.",Chicago,IL,"141 West Jackson, Chicago, IL, 60604, USA","""Chicago Board of Trade Building"" ""Apollo Global Management, Inc."" ""opening""","""Chicago Board of Trade Building"" ""Chicago"" ""data center"" ""announced""","""Apollo Global Management, Inc."" ""Chicago"" ""facility"" ""commissioned"""
1808 Swift Drive,CenterPoint Properties,Oak Brook,IL,"1808 Swift Drive, Oak Brook, IL, 60523, USA","""1808 Swift Drive"" ""CenterPoint Properties"" ""opening""","""1808 Swift Drive"" ""Oak Brook"" ""data center"" ""announced""","""CenterPoint Properties"" ""Oak Brook"" ""facility"" ""commissioned"""
360TCS Data Center,360 Technology Center Solutions,Lombard,IL,"360 E. 22nd St., Lombard, IL, 60148, USA","""360TCS Data Center"" ""360 Technology Center Solutions"" ""opening""","""360TCS Data Center"" ""Lombard"" ""data center"" ""announced""","""360 Technology Center Solutions"" ""Lombard"" ""facility"" ""commissioned"""
XNet Critical Computing Facility,"XNet Information Systems, Inc.",Lisle,IL,"3080 Ogden Ave, Lisle, IL, 60532, USA","""XNet Critical Computing Facility"" ""XNet Information Systems, Inc."" ""opening""","""XNet Critical Computing Facility"" ""Lisle"" ""data center"" ""announced""","""XNet Information Systems, Inc."" ""Lisle"" ""facility"" ""commissioned"""
Centersquare - Chicago ORD1-B,Csquare,Chicago,IL,"350 East Cermak, Chicago, IL, 60609, USA","""Centersquare - Chicago ORD1-B"" ""Csquare"" ""opening""","""Centersquare - Chicago ORD1-B"" ""Chicago"" ""data center"" ""announced""","""Csquare"" ""Chicago"" ""facility"" ""commissioned"""
Midway Technology Center,1547 Critical Systems Realty,Chicago,IL,"40 E Garfield Blvd, Chicago, IL, 60615, USA","""Midway Technology Center"" ""1547 Critical Systems Realty"" ""opening""","""Midway Technology Center"" ""Chicago"" ""data center"" ""announced""","""1547 Critical Systems Realty"" ""Chicago"" ""facility"" ""commissioned"""
NetSource Naperville 1,"NetSource Communications, Inc.",Naperville,IL,"2368 Corporate Lane, Naperville, IL, 60563, USA","""NetSource Naperville 1"" ""NetSource Communications, Inc."" ""opening""","""NetSource Naperville 1"" ""Naperville"" ""data center"" ""announced""","""NetSource Communications, Inc."" ""Naperville"" ""facility"" ""commissioned"""
T5 Data Centers - T5@Chicago V,T5 Data Centers,TBA Elk Grove Village,IL,"TBA Elk Grove Village, IL, USA","""T5 Data Centers - T5@Chicago V"" ""T5 Data Centers"" ""opening""","""T5 Data Centers - T5@Chicago V"" ""TBA Elk Grove Village"" ""data center"" ""announced""","""T5 Data Centers"" ""TBA Elk Grove Village"" ""facility"" ""commissioned"""
Chirisa Volo Technology Park,Chirisa,Volo,IL,"300 South Fish Lake Rd, Volo, IL, 60073, USA","""Chirisa Volo Technology Park"" ""Chirisa"" ""opening""","""Chirisa Volo Technology Park"" ""Volo"" ""data center"" ""announced""","""Chirisa"" ""Volo"" ""facility"" ""commissioned"""
Stream DC Chicago III,Stream Data Centers,Elk Grove Village,IL,"2000 Landmeier Rd, Elk Grove Village, IL, 60007, USA","""Stream DC Chicago III"" ""Stream Data Centers"" ""opening""","""Stream DC Chicago III"" ""Elk Grove Village"" ""data center"" ""announced""","""Stream Data Centers"" ""Elk Grove Village"" ""facility"" ""commissioned"""
ColoHouse Chicago Cermak,ColoHouse,Chicago,IL,"350 E Cermak, Chicago, IL, 60616, USA","""ColoHouse Chicago Cermak"" ""ColoHouse"" ""opening""","""ColoHouse Chicago Cermak"" ""Chicago"" ""data center"" ""announced""","""ColoHouse"" ""Chicago"" ""facility"" ""commissioned"""
Naperville Data Center,KARIS Critical,Naperville,IL,"1940 Lucent Ln, Naperville, IL, 60563, USA","""Naperville Data Center"" ""KARIS Critical"" ""opening""","""Naperville Data Center"" ""Naperville"" ""data center"" ""announced""","""KARIS Critical"" ""Naperville"" ""facility"" ""commissioned"""
CloudHQ ORD2,CloudHQ,Des Plaines,IL,"1200 E Algonquin Rd, Des Plaines, IL, 60016, USA","""CloudHQ ORD2"" ""CloudHQ"" ""opening""","""CloudHQ ORD2"" ""Des Plaines"" ""data center"" ""announced""","""CloudHQ"" ""Des Plaines"" ""facility"" ""commissioned"""
T5 Data Centers - T5@Grayslake Campus,T5 Data Centers,Grayslake,IL,"30907 N Alleghany Rd, Grayslake, IL, 60030, USA","""T5 Data Centers - T5@Grayslake Campus"" ""T5 Data Centers"" ""opening""","""T5 Data Centers - T5@Grayslake Campus"" ""Grayslake"" ""data center"" ""announced""","""T5 Data Centers"" ""Grayslake"" ""facility"" ""commissioned"""
Microsoft Hoffman Estates - Building 2,Microsoft,Hoffman Estates,IL,"Lakewood Blvd, Hoffman Estates, IL, 60192, USA","""Microsoft Hoffman Estates - Building 2"" ""Microsoft"" ""opening""","""Microsoft Hoffman Estates - Building 2"" ""Hoffman Estates"" ""data center"" ""announced""","""Microsoft"" ""Hoffman Estates"" ""facility"" ""commissioned"""
T5 Data Centers - T5@Chicago III,T5 Data Centers,Northlake,IL,"11650 W Grand Ave, Northlake, IL, 60164, USA","""T5 Data Centers - T5@Chicago III"" ""T5 Data Centers"" ""opening""","""T5 Data Centers - T5@Chicago III"" ""Northlake"" ""data center"" ""announced""","""T5 Data Centers"" ""Northlake"" ""facility"" ""commissioned"""
