name,operator,city,state,full_address,suggested_query_1,suggested_query_2,suggested_query_3
Edged Chicago ORD2,Edged Energy,Aurora,IL,"2835 Bilter Rd, Aurora, IL, 60502, USA","""Edged Chicago ORD2"" ""Edged Energy"" ""opening""","""Edged Chicago ORD2"" ""Aurora"" ""data center"" ""announced""","""Edged Energy"" ""Aurora"" ""facility"" ""commissioned"""
Edged Chicago ORD1,Edged Energy,Aurora,IL,"2815 Bilter Rd, Aurora, IL, 60502, USA","""Edged Chicago ORD1"" ""Edged Energy"" ""opening""","""Edged Chicago ORD1"" ""Aurora"" ""data center"" ""announced""","""Edged Energy"" ""Aurora"" ""facility"" ""commissioned"""
8080 S DuSable Lake Shore Drive,Related Digital,Chicago,IL,"8080 S DuSable Lake Shore Dr, Chicago, IL, 60617, USA","""8080 S DuSable Lake Shore Drive"" ""Related Digital"" ""opening""","""8080 S DuSable Lake Shore Drive"" ""Chicago"" ""data center"" ""announced""","""Related Digital"" ""Chicago"" ""facility"" ""commissioned"""
Meta DeKalb Campus,Meta,DeKalb,IL,"1550-2050 Metaverse Wy, DeKalb, IL, 60115, USA","""Meta DeKalb Campus"" ""Meta"" ""opening""","""Meta DeKalb Campus"" ""DeKalb"" ""data center"" ""announced""","""Meta"" ""DeKalb"" ""facility"" ""commissioned"""
Compass Hoffman Estates,Compass Datacenters,Hoffman Estates,IL,"3333 Beverly Rd, Hoffman Estates, IL, 60179, USA","""Compass Hoffman Estates"" ""Compass Datacenters"" ""opening""","""Compass Hoffman Estates"" ""Hoffman Estates"" ""data center"" ""announced""","""Compass Datacenters"" ""Hoffman Estates"" ""facility"" ""commissioned"""
Microsoft Plano (IL),Microsoft,Plano,IL,"Eldamain Rd & Corneils Rd, Plano, IL, 60545, USA","""Microsoft Plano (IL)"" ""Microsoft"" ""opening""","""Microsoft Plano (IL)"" ""Plano"" ""data center"" ""announced""","""Microsoft"" ""Plano"" ""facility"" ""commissioned"""
Morris Technology Park,Tract,Morris,IL,"US-6 & County Rd 2000 E, Morris, IL, 60450, USA","""Morris Technology Park"" ""Tract"" ""opening""","""Morris Technology Park"" ""Morris"" ""data center"" ""announced""","""Tract"" ""Morris"" ""facility"" ""commissioned"""
Lumen Chicago 3,Lumen,Chicago,IL,"200 N LaSalle St, Chicago, IL, 60601, USA","""Lumen Chicago 3"" ""Lumen"" ""opening""","""Lumen Chicago 3"" ""Chicago"" ""data center"" ""announced""","""Lumen"" ""Chicago"" ""facility"" ""commissioned"""
Lumen South Holland 1,Lumen,South Holland,IL,"200 E 166th St, South Holland, IL, 60473, USA","""Lumen South Holland 1"" ""Lumen"" ""opening""","""Lumen South Holland 1"" ""South Holland"" ""data center"" ""announced""","""Lumen"" ""South Holland"" ""facility"" ""commissioned"""
GigeNET Chicago,Gigenet,Arlington Heights,IL,"545 E. Algonquin Rd., Arlington Heights, IL, 60005, USA","""GigeNET Chicago"" ""Gigenet"" ""opening""","""GigeNET Chicago"" ""Arlington Heights"" ""data center"" ""announced""","""Gigenet"" ""Arlington Heights"" ""facility"" ""commissioned"""
Volico Chicago,Volico Data Center,Chicago,IL,"350 E Cermak Rd, Chicago, IL, 60616, USA","""Volico Chicago"" ""Volico Data Center"" ""opening""","""Volico Chicago"" ""Chicago"" ""data center"" ""announced""","""Volico Data Center"" ""Chicago"" ""facility"" ""commissioned"""
NaviSite Chicago,"NaviSite, Inc.",Chicago,IL,"725 S Wells, Chicago, IL, 60610, USA","""NaviSite Chicago"" ""NaviSite, Inc."" ""opening""","""NaviSite Chicago"" ""Chicago"" ""data center"" ""announced""","""NaviSite, Inc."" ""Chicago"" ""facility"" ""commissioned"""
Lumen Chicago 2,Lumen,Chicago,IL,"900 N. Kingsbury Street, Chicago, IL, 60610, USA","""Lumen Chicago 2"" ""Lumen"" ""opening""","""Lumen Chicago 2"" ""Chicago"" ""data center"" ""announced""","""Lumen"" ""Chicago"" ""facility"" ""commissioned"""
